species,health_band_min,health_band_max,carbon_per_year_kg,price_per_kg_inr,carbon_units_per_day
chiku,30,50,5.4,100,0.015
chiku,50,70,8.4,100,0.023
chiku,70,85,10.2,100,0.028
chiku,85,100,12.0,100,0.033
sugarcane,10,20,3.0,100,0.008
sugarcane,20,30,4.5,100,0.012
sugarcane,30,50,6.75,100,0.018
sugarcane,50,70,10.5,100,0.029
sugarcane,70,85,12.75,100,0.035
sugarcane,85,100,15.0,100,0.041
cassava,10,20,0.8,100,0.002
cassava,20,30,1.2,100,0.003
cassava,30,50,1.8,100,0.005
cassava,50,70,2.8,100,0.008
cassava,70,85,3.4,100,0.009
cassava,85,100,4.0,100,0.011
tomato,10,20,0.4,100,0.001
tomato,20,30,0.6,100,0.002
tomato,30,50,0.9,100,0.002
tomato,50,70,1.4,100,0.004
tomato,70,85,1.7,100,0.005
tomato,85,100,2.0,100,0.005
potato,10,20,0.3,100,0.001
potato,20,30,0.45,100,0.001
potato,30,50,0.675,100,0.002
potato,50,70,1.05,100,0.003
potato,70,85,1.275,100,0.003
potato,85,100,1.5,100,0.004
corn,10,20,1.0,100,0.003
corn,20,30,1.5,100,0.004
corn,30,50,2.25,100,0.006
corn,50,70,3.5,100,0.010
corn,70,85,4.25,100,0.012
corn,85,100,5.0,100,0.014
rice,10,20,0.6,100,0.002
rice,20,30,0.9,100,0.002
rice,30,50,1.35,100,0.004
rice,50,70,2.1,100,0.006
rice,70,85,2.55,100,0.007
rice,85,100,3.0,100,0.008
wheat,10,20,0.7,100,0.002
wheat,20,30,1.05,100,0.003
wheat,30,50,1.575,100,0.004
wheat,50,70,2.45,100,0.007
wheat,70,85,2.975,100,0.008
wheat,85,100,3.5,100,0.010
cotton,10,20,0.8,100,0.002
cotton,20,30,1.2,100,0.003
cotton,30,50,1.8,100,0.005
cotton,50,70,2.8,100,0.008
cotton,70,85,3.4,100,0.009
cotton,85,100,4.0,100,0.011
soyabean,10,20,0.6,100,0.002
soyabean,20,30,0.9,100,0.002
soyabean,30,50,1.35,100,0.004
soyabean,50,70,2.1,100,0.006
soyabean,70,85,2.55,100,0.007
soyabean,85,100,3.0,100,0.008
groundnut,10,20,0.5,100,0.001
groundnut,20,30,0.75,100,0.002
groundnut,30,50,1.125,100,0.003
groundnut,50,70,1.75,100,0.005
groundnut,70,85,2.125,100,0.006
groundnut,85,100,2.5,100,0.007
pea,10,20,0.4,100,0.001
pea,20,30,0.6,100,0.002
pea,30,50,0.9,100,0.002
pea,50,70,1.4,100,0.004
pea,70,85,1.7,100,0.005
pea,85,100,2.0,100,0.005
gram,10,20,0.4,100,0.001
gram,20,30,0.6,100,0.002
gram,30,50,0.9,100,0.002
gram,50,70,1.4,100,0.004
gram,70,85,1.7,100,0.005
gram,85,100,2.0,100,0.005
cucumber,10,20,0.4,100,0.001
cucumber,20,30,0.6,100,0.002
cucumber,30,50,0.9,100,0.002
cucumber,50,70,1.4,100,0.004
cucumber,70,85,1.7,100,0.005
cucumber,85,100,2.0,100,0.005
brinjal,10,20,0.5,100,0.001
brinjal,20,30,0.75,100,0.002
brinjal,30,50,1.125,100,0.003
brinjal,50,70,1.75,100,0.005
brinjal,70,85,2.125,100,0.006
brinjal,85,100,2.5,100,0.007
cauliflower,10,20,0.4,100,0.001
cauliflower,20,30,0.6,100,0.002
cauliflower,30,50,0.9,100,0.002
cauliflower,50,70,1.4,100,0.004
cauliflower,70,85,1.7,100,0.005
cauliflower,85,100,2.0,100,0.005
cabbage,10,20,0.4,100,0.001
cabbage,20,30,0.6,100,0.002
cabbage,30,50,0.9,100,0.002
cabbage,50,70,1.4,100,0.004
cabbage,70,85,1.7,100,0.005
cabbage,85,100,2.0,100,0.005
onion,10,20,0.3,100,0.001
onion,20,30,0.45,100,0.001
onion,30,50,0.675,100,0.002
onion,50,70,1.05,100,0.003
onion,70,85,1.275,100,0.003
onion,85,100,1.5,100,0.004
garlic,10,20,0.2,100,0.001
garlic,20,30,0.3,100,0.001
garlic,30,50,0.45,100,0.001
garlic,50,70,0.7,100,0.002
garlic,70,85,0.85,100,0.002
garlic,85,100,1.0,100,0.003
ginger,10,20,0.4,100,0.001
ginger,20,30,0.6,100,0.002
ginger,30,50,0.9,100,0.002
ginger,50,70,1.4,100,0.004
ginger,70,85,1.7,100,0.005
ginger,85,100,2.0,100,0.005
chilli,10,20,0.5,100,0.001
chilli,20,30,0.75,100,0.002
chilli,30,50,1.125,100,0.003
chilli,50,70,1.75,100,0.005
chilli,70,85,2.125,100,0.006
chilli,85,100,2.5,100,0.007
capsicum,10,20,0.5,100,0.001
capsicum,20,30,0.75,100,0.002
capsicum,30,50,1.125,100,0.003
capsicum,50,70,1.75,100,0.005
capsicum,70,85,2.125,100,0.006
capsicum,85,100,2.5,100,0.007
tobacco,10,20,0.6,100,0.002
tobacco,20,30,0.9,100,0.002
tobacco,30,50,1.35,100,0.004
tobacco,50,70,2.1,100,0.006
tobacco,70,85,2.55,100,0.007
tobacco,85,100,3.0,100,0.008
sunflower,10,20,0.7,100,0.002
sunflower,20,30,1.05,100,0.003
sunflower,30,50,1.575,100,0.004
sunflower,50,70,2.45,100,0.007
sunflower,70,85,2.975,100,0.008
sunflower,85,100,3.5,100,0.010
rose,10,20,0.4,100,0.001
rose,20,30,0.6,100,0.002
rose,30,50,0.9,100,0.002
rose,50,70,1.4,100,0.004
rose,70,85,1.7,100,0.005
rose,85,100,2.0,100,0.005
ornamental,10,20,0.6,100,0.002
ornamental,20,30,0.9,100,0.002
ornamental,30,50,1.35,100,0.004
ornamental,50,70,2.1,100,0.006
ornamental,70,85,2.55,100,0.007
ornamental,85,100,3.0,100,0.008
raspberry,10,20,0.6,100,0.002
raspberry,20,30,0.9,100,0.002
raspberry,30,50,1.35,100,0.004
raspberry,50,70,2.1,100,0.006
raspberry,70,85,2.55,100,0.007
raspberry,85,100,3.0,100,0.008
strawberry,10,20,0.3,100,0.001
strawberry,20,30,0.45,100,0.001
strawberry,30,50,0.675,100,0.002
strawberry,50,70,1.05,100,0.003
strawberry,70,85,1.275,100,0.003
strawberry,85,100,1.5,100,0.004
blueberry,10,20,0.6,100,0.002
blueberry,20,30,0.9,100,0.002
blueberry,30,50,1.35,100,0.004
blueberry,50,70,2.1,100,0.006
blueberry,70,85,2.55,100,0.007
blueberry,85,100,3.0,100,0.008
cardamom,10,20,0.8,100,0.002
cardamom,20,30,1.2,100,0.003
cardamom,30,50,1.8,100,0.005
cardamom,50,70,2.8,100,0.008
cardamom,70,85,3.4,100,0.009
cardamom,85,100,4.0,100,0.011
castor,10,20,1.0,100,0.003
castor,20,30,1.5,100,0.004
castor,30,50,2.25,100,0.006
castor,50,70,3.5,100,0.010
castor,70,85,4.25,100,0.012
castor,85,100,5.0,100,0.014
weed,10,20,0.2,100,0.001
weed,20,30,0.3,100,0.001
weed,30,50,0.45,100,0.001
weed,50,70,0.7,100,0.002
weed,70,85,0.85,100,0.002
weed,85,100,1.0,100,0.003
